gender,age,marital_status,education,applicant_income,coapplicant_income,dependents,employment_type,area_type,loan_amount,loan_term_months,loan_purpose,electricity_bill_avg,electricity_payment_regularity,mobile_recharge_avg,mobile_recharge_frequency,utility_payment_consistency,govt_socioeconomic_category,credit_category,prior_repayment_record,loan_repaid
Male,29,Married,Graduate,18320.330175357543,0.0,3,Salaried,Semi-urban,157740.92885885603,84,Education,,1.0,411.65959923021666,2.7445681904947845,1.0,,None,,0
Female,48,Married,Primary,88139.005692302,66993.56283307637,0,Farmer,Urban,2000000.0,48,Education,,1.0,1712.086225376602,3.4627040149546557,,APL,None,,0
Male,54,Married,Secondary,14141.81392564108,10982.354869785582,5,Farmer,Urban,101926.327638095,120,Business,418.28962493205074,1.0,414.09324934275224,3.2274881815220944,,APL,Weak,,0
Male,45,Single,Primary,11281.289510754861,0.0,1,Salaried,Rural,273865.7963204337,48,Agriculture,567.3526612616195,1.0,192.87830502491568,2.750741496340554,1.0,APL,Good,,0
Male,40,Single,Secondary,31620.334767020566,10481.074902771803,4,Self-employed,Semi-urban,798562.9342620495,60,Medical,1812.290520616866,1.0,630.9089630340849,1.3373520197005995,0.2,,Weak,,0
Male,41,Married,Primary,7648.965882114904,0.0,3,Farmer,Rural,221534.7556621048,36,Marriage,406.98790785471687,1.0,148.5590639303904,2.142162643706426,0.8,,Moderate,0.82,0
Male,18,Married,Primary,18679.174169169768,8284.742421806168,4,Self-employed,Semi-urban,277203.7741451004,48,Education,1509.1166852774209,0.8,510.4685067954223,1.3345703940486136,1.0,APL,None,,0
Female,32,Widowed,Secondary,13970.279272354146,0.0,2,Farmer,Semi-urban,387152.8241491332,60,Medical,663.8614761604049,0.2,284.62891093859844,2.093996517160028,0.8,APL,None,0.95,1
Male,36,Married,Primary,46098.694028773185,0.0,3,Salaried,Urban,359958.46234480396,120,Home repair,576.1939514796559,1.0,881.0528125017474,7.230434308861835,1.0,BPL,Good,0.95,1
Male,49,Divorced,Secondary,28948.797852111442,20814.00438708969,0,Self-employed,Urban,529964.639930164,48,Marriage,1382.313246169348,1.0,,1.6193019841895926,0.5,APL,Weak,,0
Other,24,Widowed,Secondary,13097.429420027287,9204.465005982247,6,Farmer,Semi-urban,218208.84200837582,60,Education,501.5925152600515,0.2,252.6103807031734,1.3403610588121295,1.0,APL,None,,0
Female,47,Single,Graduate,41219.68412243547,25678.63013711796,2,Farmer,Urban,1124997.8400897966,36,Education,1886.2905681889463,1.0,,2.589020442737602,0.5,,None,0.95,0
Male,26,Married,No formal education,14058.64260733457,10729.344536969105,2,Farmer,Semi-urban,82318.4790229621,36,Agriculture,670.3436274919568,0.8,287.66682923508915,1.389192258176644,1.0,,None,,1
Female,46,Divorced,Primary,31581.293081298976,0.0,3,Self-employed,Urban,322214.75815097877,24,Business,1365.3960547536713,0.8,583.7175120759514,,1.0,,Strong,,0
Male,49,Married,Primary,4115.575128733448,2761.91724169746,2,Self-employed,Rural,39982.091995149814,48,Agriculture,518.2520457189231,1.0,72.38071643074576,7.718153283167924,,BPL,None,0.82,0
Male,25,Married,Secondary,92032.8919353525,58574.44267867861,1,Salaried,Urban,1837220.3371205856,12,Home repair,4378.8757212874225,1.0,1924.8040819350435,1.0995182711055669,1.0,APL,None,,0
Female,45,Married,Secondary,7061.670884609772,0.0,0,Self-employed,Urban,73379.28774784271,84,Medical,472.35026100358334,1.0,117.55193396622295,1.7111887032930417,0.8,,None,0.95,0
Female,36,Single,Secondary,29664.88633477277,10917.070116691628,3,Farmer,Urban,242467.82593972125,12,Marriage,405.35762863401897,,577.2839436038919,5.3695737520101074,1.0,BPL,None,0.95,1
Male,20,Married,Graduate,7561.4898440398,0.0,2,Farmer,Rural,165950.03914662325,84,Business,466.59147643723713,0.2,152.80034178334896,3.4095266961887694,1.0,BPL,Moderate,,0
Male,28,Single,Graduate,3000.0,0.0,6,Daily wage,Rural,67343.18265562603,84,Marriage,552.4868615384844,,50.0,4.780208553515123,1.0,BPL,Moderate,0.95,0
Female,19,Divorced,Graduate,7217.83888374028,0.0,1,Daily wage,Rural,92483.90567513507,120,Education,334.9362040080392,0.5,151.81489526771966,6.743280970175775,1.0,BPL,None,0.62,0
Female,20,Married,Post-graduate,8802.001055478027,6804.638308960571,3,Farmer,Rural,121352.13484403763,24,Agriculture,365.3808430202982,0.2,139.40772654593053,,1.0,APL,Moderate,0.95,0
Female,21,Married,Post-graduate,33985.63295519358,18081.614537240916,3,Self-employed,Rural,480908.90110000886,24,Home repair,1650.7670176998483,,671.7872726948253,2.800432115297542,1.0,APL,None,,0
Female,40,Single,Secondary,8889.922360483528,0.0,2,Farmer,Semi-urban,116549.71980119185,48,Medical,313.5432996576701,1.0,144.57917052640644,6.3766065467469755,1.0,BPL,None,0.82,0
Male,54,Married,Primary,90787.97327681605,39316.281830142616,4,Salaried,Urban,871016.8222047416,60,Business,4769.89648713082,1.0,,2.092284575632051,1.0,APL,None,,1
Male,55,Married,Primary,8352.731362894292,3526.7485900152815,6,Self-employed,Semi-urban,147506.05719141485,84,Home repair,792.9604970612836,0.5,222.34674208789215,1.267766401644769,1.0,,Good,0.62,0
Male,32,Single,Primary,72342.97891537767,0.0,1,Salaried,Semi-urban,412690.4619894004,84,Marriage,3350.8404714072544,1.0,,3.8418773171418,1.0,APL,None,,0
Female,31,Married,Graduate,26478.85428554954,13039.044394301878,0,Farmer,Urban,498669.4525958743,12,Agriculture,1283.7816152688251,1.0,538.6052794203908,1.9886436557145455,0.5,,None,0.95,0
Male,27,Married,No formal education,35955.61172260292,19933.1942630865,2,Self-employed,Semi-urban,203922.78327120355,48,Medical,1641.8225287819791,1.0,670.6193413152904,3.8278214194459785,0.8,APL,Weak,,1
Female,18,Single,Primary,25030.234843253544,0.0,0,Self-employed,Rural,746450.3277462327,36,Education,,1.0,522.2760699974166,6.37305472328882,1.0,BPL,Weak,0.35,0
Male,38,Single,Graduate,13106.654251653667,6743.144767572306,0,Daily wage,Urban,350047.4673470919,84,Medical,1033.205535971207,0.5,207.78156863300956,1.8165974178296964,1.0,APL,Good,,0
Female,40,Single,Secondary,27600.521837403834,0.0,4,Salaried,Rural,783809.1214775287,84,Medical,1060.0097976672628,1.0,,2.11076435176729,1.0,APL,None,0.82,0
Male,47,Single,Graduate,26044.84939608844,0.0,2,Farmer,Urban,747348.8240340721,12,Marriage,356.88809144081114,0.5,540.5227338257702,5.488794695509506,1.0,BPL,None,0.95,0
Male,34,Married,Secondary,12557.13907923386,9298.079916164426,2,Daily wage,Semi-urban,186509.48405402273,36,Marriage,502.3352501506699,0.8,249.0587926782065,6.484718129198518,1.0,BPL,None,0.95,0
Male,18,Married,No formal education,3350.419007020023,0.0,1,Self-employed,Rural,59828.16623049179,24,Education,403.6495966830905,0.5,50.0,3.593150276370195,1.0,APL,Good,0.62,0
Other,28,Single,Primary,9214.52184322322,0.0,2,Self-employed,Rural,86692.56939787346,84,Medical,576.7142910038269,0.2,200.56714715855733,5.436411755843865,1.0,BPL,Weak,0.95,0
Male,44,Single,Graduate,6622.476701906222,0.0,0,Salaried,Semi-urban,172520.49026533923,60,Medical,475.3694734968458,0.8,157.57727118604498,,0.8,,None,0.35,1
Male,31,Married,Graduate,8685.4277217378,4363.149646759431,0,Daily wage,Urban,253234.4211996937,60,Home repair,163.44711273229427,0.5,,3.9283539601086916,0.5,APL,Moderate,0.62,0
Female,42,Married,Primary,25954.35374230173,0.0,1,Daily wage,Semi-urban,599276.0321876603,60,Home repair,1029.3385911734729,,558.0652590388346,3.7419617433087904,,APL,None,,0
Male,39,Married,No formal education,6344.228085611826,2614.3950589168003,2,Daily wage,Rural,123312.65540345444,12,Education,,0.5,50.0,,0.8,APL,Moderate,,1
Female,36,Single,Secondary,11119.346492456625,0.0,1,Self-employed,Rural,93482.8693759763,24,Business,348.6865191595938,0.2,269.5389619271845,,1.0,BPL,None,0.62,0
Female,41,Married,Secondary,19049.369438248985,0.0,2,Self-employed,Semi-urban,199795.03468182724,36,Agriculture,622.9297649585309,0.2,383.9526804071154,2.101877323201907,1.0,APL,None,0.95,0
Male,29,Married,Graduate,28084.494952042885,0.0,2,Salaried,Semi-urban,232945.13240136034,120,Business,,1.0,656.4321513184923,1.8520317154442802,1.0,APL,None,,0
Female,26,Married,Secondary,24249.241416524856,0.0,3,Salaried,Rural,614370.0269483771,84,Home repair,,1.0,,5.91267905599253,0.5,BPL,None,0.95,0
Male,39,Single,Secondary,30513.568188215857,0.0,1,Farmer,Semi-urban,604615.9465630898,12,Education,1713.615690392743,1.0,591.9192939601944,1.5777930497843777,0.8,APL,Strong,,0
Male,33,Widowed,Primary,25270.576055777667,16538.971943333396,2,Self-employed,Semi-urban,526286.8638855158,84,Agriculture,1073.904013502375,1.0,,2.7156167635280624,1.0,,Moderate,0.95,0
Female,49,Widowed,Primary,25849.627346344983,0.0,3,Self-employed,Urban,638114.6848520304,24,Business,1612.42220752687,1.0,486.266079968223,,1.0,APL,Good,0.82,0
Female,50,Married,No formal education,14213.689949038608,5057.985078126015,3,Self-employed,Rural,214282.86581081784,12,Agriculture,409.32416848487225,0.2,225.32480179024913,2.06569909619962,0.2,APL,Weak,,0
Male,45,Married,Secondary,11188.10854148946,0.0,5,Daily wage,Urban,188572.5936891929,84,Education,492.7206854179905,0.2,266.0351974785076,,0.8,APL,Moderate,0.95,0
Male,18,Married,Graduate,52470.505507786984,41569.27219399768,4,Self-employed,Urban,1145865.6695940695,48,Home repair,381.0063055365813,1.0,,5.108270034109193,1.0,BPL,None,0.95,0
Female,32,Single,Secondary,4705.299335863497,0.0,2,Self-employed,Rural,93353.5335595867,120,Home repair,452.67903712924283,0.2,89.39735973949738,4.68814238538933,1.0,BPL,None,0.82,0
Male,34,Married,Secondary,108310.559273939,36499.794703574305,3,Salaried,Urban,1098241.0761354102,60,Business,5325.390973470332,1.0,2245.0775503313034,3.014545731089158,1.0,APL,Weak,,1
Male,31,Married,Secondary,16774.044370657808,5314.094754494955,1,Self-employed,Rural,124517.27506517174,12,Home repair,296.2859877132966,1.0,,3.468038686178602,1.0,BPL,None,,0
Female,27,Single,Secondary,47011.83413868676,28834.1544490824,1,Farmer,Urban,1007758.6148931694,36,Medical,2128.9988919580283,1.0,1063.666199229388,2.0874699711924607,,,None,,0
Male,45,Married,Secondary,6386.022395863884,0.0,2,Salaried,Rural,138495.76674849688,24,Agriculture,312.0822427344277,0.5,106.1736900672762,3.998500967195613,1.0,BPL,None,0.95,1
Female,24,Married,Graduate,29810.180866838098,0.0,3,Salaried,Semi-urban,590419.7814023137,84,Home repair,,,659.4639019191549,2.1961427480612175,0.5,,Moderate,,0
Female,56,Single,Primary,34575.81195106147,0.0,0,Farmer,Semi-urban,995539.0201913957,36,Agriculture,1757.6862558489509,0.5,655.1053627809522,,0.8,APL,Weak,0.95,0
Male,24,Single,No formal education,11161.894899781202,4422.077512110155,5,Self-employed,Rural,171485.35730783961,24,Agriculture,682.6275881726917,1.0,236.13051714153627,1.7482476442069912,0.2,APL,Good,,0
Male,42,Married,Primary,4593.333891758006,1397.5290520999754,2,Daily wage,Rural,128449.53688939173,48,Marriage,,0.8,50.0,,0.8,,Weak,0.95,0
Female,41,Married,Primary,3697.5331082935763,1156.147937856551,0,Salaried,Rural,45410.25957176276,24,Education,102.15651254962535,1.0,97.27655479197045,3.3609883562998872,0.8,,Good,0.95,0
Male,24,Widowed,Secondary,28320.965943026273,0.0,4,Farmer,Urban,448027.9893242058,36,Home repair,,1.0,510.2864969144192,7.998193269825897,,BPL,None,,0
Female,56,Married,Graduate,6415.072132839223,0.0,1,Self-employed,Rural,130960.03763294467,48,Education,602.9439028696968,0.5,170.67196729301335,1.5901271356613236,1.0,APL,Good,,0
Female,48,Married,Secondary,32508.746869222974,0.0,3,Farmer,Semi-urban,314604.0148715998,120,Medical,388.0668124873204,0.8,689.3929410862667,,1.0,BPL,None,,0
Other,39,Single,Secondary,3000.0,1144.2004281656273,5,Farmer,Rural,52994.20303426949,60,Medical,291.8894393864799,0.2,167.579502531216,,0.5,APL,None,,0
Female,48,Married,No formal education,8512.521235344764,0.0,2,Salaried,Rural,217317.43281256864,84,Agriculture,389.11241204442524,0.2,172.65792515814977,6.212612500311973,1.0,BPL,None,,0
Male,33,Married,Post-graduate,25053.32588554476,0.0,3,Self-employed,Semi-urban,657574.4970836563,24,Business,,1.0,512.8126861772149,1.8727642159827282,1.0,APL,None,,0
Female,26,Married,Post-graduate,12724.1884892901,9449.463306278423,1,Self-employed,Rural,101087.13075424227,48,Agriculture,473.5833657298569,1.0,295.82056222461324,6.331073700732086,,BPL,None,,0
Female,44,Single,Secondary,35993.580309852056,0.0,1,Salaried,Rural,647509.6337685979,84,Home repair,320.7722965788957,1.0,695.4740465899507,7.444576376480777,1.0,BPL,None,0.62,0
Female,37,Married,Graduate,59824.32869626939,25110.158235820694,3,Farmer,Urban,420074.56914000557,36,Business,3251.2159563091236,0.8,1254.7644472687552,2.55270915744278,0.8,APL,Good,,1
Male,41,Single,Primary,3000.0,1404.3271454265255,3,Daily wage,Semi-urban,32482.17001174063,12,Marriage,50.0,0.5,50.0,3.5199490745852415,0.8,APL,None,0.95,0
Female,41,Married,No formal education,39791.349340016735,15457.209821776556,3,Self-employed,Urban,784911.7592155674,48,Education,529.3495467299042,0.2,841.6523156899055,4.08987148720048,1.0,BPL,None,0.82,0
Female,48,Single,No formal education,3279.3809209255137,1962.798787923287,4,Daily wage,Semi-urban,60698.37348078619,60,Home repair,272.0235974785009,0.5,58.5772924839333,1.4591127712256249,0.5,APL,Good,,0
Female,34,Widowed,Graduate,3411.251837939502,2423.172443122946,1,Daily wage,Rural,46402.27522984807,84,Agriculture,377.07114981765665,1.0,50.0,,0.8,BPL,None,0.82,0
Male,29,Married,No formal education,4501.321094652937,2181.495099579601,2,Self-employed,Urban,91579.260528568,84,Business,,0.5,77.30458550877556,2.4731008596004047,0.8,,None,,0
Male,54,Married,No formal education,25468.753485167756,17596.71468621418,2,Farmer,Urban,456248.0945314292,24,Medical,,0.5,557.4186023857735,,1.0,,Moderate,0.62,0
Female,39,Married,Post-graduate,12917.574373556472,0.0,3,Farmer,Semi-urban,157551.56248315112,12,Medical,394.00701336880655,1.0,245.07129496015358,2.035431758168657,0.8,,None,,0
Male,32,Single,Secondary,35068.85633169694,0.0,3,Self-employed,Urban,857930.1473265813,120,Medical,1714.1277737423793,1.0,,1.1166050700175005,1.0,APL,Strong,,0
Male,49,Single,Secondary,15913.613875709305,7351.643649878305,1,Self-employed,Urban,87195.28849028834,24,Medical,1185.1042970645003,,249.61164194404972,1.6600004521424394,0.8,,Good,0.95,1
Male,43,Married,Secondary,24699.96502913397,8262.534940548543,6,Farmer,Urban,572612.7295955073,24,Business,965.1137898937047,1.0,551.8535885340392,,1.0,,None,0.82,0
Female,38,Married,Secondary,12535.008192868614,0.0,5,Farmer,Urban,324912.9485075209,120,Agriculture,,1.0,159.65173856888572,1.5098527323990183,1.0,APL,None,0.95,0
Female,35,Married,Secondary,27523.180405128427,0.0,4,Self-employed,Semi-urban,183480.2489419992,84,Medical,1434.697280848855,1.0,533.1565166726979,1.1962098541483512,1.0,,None,,0
Female,18,Married,Primary,3000.0,0.0,3,Farmer,Rural,63710.9959109524,84,Education,90.4698491248509,0.8,123.52330970432344,1.8717824814988222,,APL,Strong,0.95,0
Female,25,Single,Secondary,7971.1849473629745,5266.92309927971,1,Self-employed,Rural,90800.2121089655,36,Business,416.78591497044044,,,6.752154244169316,0.8,BPL,None,,0
Female,44,Married,Graduate,26304.390005819077,0.0,0,Farmer,Semi-urban,273978.6925788344,12,Agriculture,368.7536399898949,,569.9401183407405,6.214495966367453,1.0,BPL,Strong,,0
Female,43,Married,Secondary,6886.704296858411,2532.9566391036306,0,Farmer,Rural,76448.34261707241,12,Home repair,553.1166964157788,0.5,141.49356484620756,3.2432249548239835,1.0,APL,Good,0.82,0
Male,44,Married,Secondary,6019.662392953378,3744.901710973435,2,Self-employed,Rural,41197.504487601596,24,Agriculture,512.2092260474928,1.0,131.07106398913322,1.9489275649495537,,APL,Strong,0.95,0
Female,38,Single,Graduate,12198.79226292147,7909.809776608461,3,Salaried,Rural,107786.00443176858,60,Home repair,445.6460268580587,0.2,,1.396147691750252,,APL,Weak,,0
Male,40,Married,Primary,50361.75009506984,0.0,1,Salaried,Urban,953249.5958694804,48,Agriculture,2294.976906979197,,986.4232878032718,1.1248933723103658,1.0,APL,Moderate,0.62,0
Female,27,Married,Primary,22904.75089982646,10204.578603634485,6,Self-employed,Semi-urban,130414.26785540702,12,Medical,478.54203391012834,1.0,466.9660640750943,6.222179314139719,0.8,BPL,None,0.95,1
Female,33,Married,Post-graduate,4025.449360894664,0.0,5,Salaried,Semi-urban,57363.14037720606,60,Education,369.7402693136173,0.8,50.0,3.630132047979265,1.0,APL,None,,0
Male,60,Married,Graduate,36082.254067187525,27378.90379067725,3,Daily wage,Urban,754322.8551555587,84,Home repair,1584.3735403456699,1.0,652.0504448389822,1.0579412648862627,1.0,APL,None,0.62,0
Male,32,Married,Primary,38867.41981152821,24251.696748387654,0,Salaried,Urban,473614.6852941886,48,Agriculture,,1.0,742.3754101036117,1.3828275482934753,0.2,APL,Weak,,0
Male,32,Married,Primary,22430.624273618152,12490.999436203898,0,Self-employed,Urban,358973.8964904093,12,Education,,1.0,365.7755627651379,6.523883645574754,1.0,BPL,None,,0
Female,45,Married,Secondary,9767.966694787696,0.0,1,Salaried,Rural,173184.40053343427,24,Marriage,,0.5,145.42303745856998,,0.8,BPL,None,0.95,0
Male,28,Divorced,Graduate,12001.997818935362,0.0,0,Farmer,Urban,254018.66839459818,84,Agriculture,339.5950907986771,,,6.100570060843126,1.0,BPL,Good,,0
Male,25,Married,Primary,12195.68928587535,0.0,4,Farmer,Rural,124173.66245031398,60,Education,489.6327839135274,,226.16923222372435,4.11281197254323,1.0,BPL,None,,1
Female,22,Married,Graduate,16527.36917193051,0.0,3,Farmer,Semi-urban,465689.00870430534,36,Marriage,869.4633817022582,1.0,283.43432374391216,3.4341586707639875,0.5,APL,None,0.82,0
Male,60,Married,Graduate,12136.087193933283,4729.188573909787,2,Farmer,Rural,158270.27452277517,24,Agriculture,207.8650359903527,1.0,268.53086199385297,7.102142794797192,1.0,BPL,None,0.95,0
Female,42,Married,Graduate,40963.55904915193,27007.27069393734,0,Salaried,Urban,554430.7129216924,84,Agriculture,520.4351400063634,0.5,886.7448362461198,3.7410206633435665,0.8,BPL,None,,0
Female,26,Married,Graduate,11887.344422128974,0.0,0,Self-employed,Rural,156668.34718104234,36,Agriculture,277.35902699443517,0.5,249.0064595035439,3.291257979790271,1.0,BPL,Strong,0.95,0
Female,34,Single,Primary,58653.28204169208,0.0,3,Salaried,Semi-urban,1749891.8127818548,48,Business,2669.0406361709515,1.0,1154.9899794784983,1.3193914107630293,1.0,APL,Good,0.35,0
Female,33,Married,No formal education,26734.965537481246,0.0,3,Farmer,Urban,448339.2083454716,24,Medical,,1.0,563.2581736004204,1.1790934668397433,1.0,APL,Weak,0.62,0
Female,44,Married,No formal education,9220.791670677352,5621.800631371993,3,Salaried,Urban,251383.1815629401,120,Agriculture,433.8129826881832,1.0,98.07402601253943,2.9632595066191683,0.2,APL,Good,0.82,0
Female,57,Married,Primary,9520.079264575546,5031.492102309566,3,Self-employed,Rural,139337.29644627005,48,Marriage,524.095785159707,1.0,147.57095311401036,6.270727961206362,0.8,BPL,None,,0
Female,48,Widowed,Graduate,38382.41167186057,0.0,5,Self-employed,Urban,503572.50610004563,36,Medical,1955.470691744748,0.2,,1.0305214542024368,0.8,,Moderate,,0
Female,56,Married,No formal education,65067.93894792626,0.0,3,Salaried,Urban,1306272.78825646,36,Business,3100.975908718779,1.0,1302.7815877475996,1.0589145919590215,1.0,APL,Weak,0.95,0
Male,18,Married,Secondary,16019.55062484882,0.0,3,Self-employed,Rural,307884.3801538313,48,Home repair,365.1437493187625,1.0,413.3871318729923,,1.0,BPL,None,0.95,0
Female,31,Married,Secondary,18433.87551271603,6300.421654353336,1,Farmer,Semi-urban,312087.57766354067,60,Agriculture,1060.6322623734845,1.0,350.0588521212564,2.0843485186238846,1.0,APL,None,0.62,0
Male,39,Married,Secondary,20518.1597914583,13947.373038873082,5,Salaried,Rural,107920.10847387568,120,Education,853.7886397376946,1.0,394.68564379706913,1.701112344561015,1.0,APL,Moderate,,0
Male,45,Divorced,Secondary,20444.260262902088,7244.077896630308,5,Self-employed,Rural,196535.96087361648,24,Business,540.8835141243546,1.0,,,1.0,BPL,None,0.95,1
Male,38,Married,Primary,77517.73644866598,0.0,1,Salaried,Semi-urban,1559142.5777161007,24,Home repair,3597.976106609887,,1504.4050632955073,2.621510814993526,1.0,APL,Good,,0
Male,29,Married,Primary,7131.466000816757,0.0,2,Daily wage,Rural,58086.02092301741,84,Home repair,404.36690532744774,1.0,80.26982041068868,4.633643452937531,1.0,BPL,Good,0.95,0
Male,35,Married,Primary,30953.489400767394,16197.297933775762,1,Salaried,Semi-urban,535574.379778585,24,Agriculture,2021.353163685444,,664.6452373596077,1.8314285247387199,0.8,,None,0.95,0
Male,18,Single,Graduate,23281.21885511246,11968.630604289723,3,Self-employed,Rural,545309.2928930011,60,Medical,225.78901786654043,0.2,,3.519135430055597,1.0,BPL,Good,,0
Female,39,Married,Secondary,49927.69079707635,0.0,2,Farmer,Urban,657688.0685525513,48,Medical,2467.7104868594242,1.0,,1.7227966170367641,0.2,APL,None,0.95,1
Male,32,Married,Primary,14891.391550849865,0.0,2,Self-employed,Semi-urban,175450.71012330268,24,Medical,499.1770217487581,,303.38215190184474,1.6387872485118176,,APL,None,,0
Male,43,Married,Post-graduate,127498.88550661696,0.0,3,Salaried,Urban,1385180.2764473094,120,Education,6007.54764308582,1.0,2533.327561533024,1.8914158587039016,1.0,,Weak,,1
Male,18,Married,Primary,8412.829360416195,6584.705215224192,1,Salaried,Rural,130205.05084922769,120,Agriculture,105.76879655609548,0.5,225.97440151594517,3.8470886261344224,1.0,APL,None,0.62,0
Female,54,Single,No formal education,3701.9912289439626,0.0,3,Self-employed,Semi-urban,95026.65181778344,48,Agriculture,50.0,0.5,61.18590137218818,1.5277687879908464,1.0,,None,0.82,0
Male,56,Married,Secondary,18598.74849081576,0.0,3,Daily wage,Semi-urban,140746.81563436694,48,Agriculture,567.110500949166,1.0,360.34486823011196,3.84786228265921,1.0,BPL,None,0.95,0
Male,34,Married,Secondary,6616.31583022793,0.0,1,Farmer,Rural,87135.91765501825,36,Home repair,591.4868548223255,0.5,,5.8131025060705515,0.8,BPL,None,0.95,0
Female,29,Married,Graduate,6453.956920521786,0.0,3,Self-employed,Rural,37567.947657602635,60,Education,460.87938487682254,0.8,218.18794919384788,3.58644728612736,1.0,BPL,None,0.82,1
Male,22,Single,Graduate,31085.92523834619,14103.748001502252,4,Self-employed,Rural,291149.89351519046,12,Marriage,1456.6301060484998,0.8,648.7053299960303,3.2774369216124133,1.0,,None,,1
Female,23,Married,Primary,28431.381196932587,15417.042838829728,2,Salaried,Urban,814106.2862174483,84,Home repair,1698.5914601632853,1.0,608.2323904567821,2.5554849229735854,0.8,,Moderate,0.62,0
Male,50,Single,No formal education,11610.874891099675,0.0,1,Self-employed,Semi-urban,268263.8707688534,48,Education,578.5156405557334,1.0,327.4367518385011,,,BPL,None,0.95,0
Male,67,Married,Primary,4681.703713023257,0.0,4,Farmer,Rural,102469.57518803388,12,Home repair,,0.5,97.92766263500657,5.15582048907218,1.0,BPL,Good,,0
Female,29,Single,Secondary,11396.57090200322,0.0,2,Daily wage,Rural,230804.73486993555,60,Education,452.7296524688634,,230.56839595513938,3.0569292189282304,0.5,,Good,,0
Female,37,Single,Secondary,64745.566353251095,0.0,1,Self-employed,Urban,1921059.7343385771,24,Medical,2966.0604846231736,1.0,1356.3383165828668,3.2535895399854464,1.0,,None,0.82,0
Female,18,Widowed,Secondary,9463.437499451138,0.0,1,Salaried,Rural,153060.52303470444,48,Agriculture,612.9123536132704,0.5,232.99979722424968,1.7028622284690749,1.0,APL,Strong,,0
Male,46,Married,Secondary,4217.42531684561,0.0,1,Daily wage,Semi-urban,83466.63461355389,12,Marriage,50.0,1.0,106.45876601824475,1.651447606776197,1.0,APL,None,0.35,0
Male,18,Married,Primary,18899.49646480845,7026.465394121338,1,Salaried,Rural,159950.29873075616,60,Home repair,506.794259446215,,351.40175691324157,3.007786174127629,0.8,BPL,Moderate,0.95,1
Male,57,Widowed,Secondary,14378.021557690852,11336.894904538009,0,Farmer,Semi-urban,225059.8249370459,48,Marriage,799.5026383609047,0.2,337.8668991115694,2.247333045915141,1.0,APL,Moderate,0.95,0
Female,42,Married,Primary,5002.31112210641,0.0,2,Daily wage,Semi-urban,135197.58844950542,36,Business,153.4584740186585,0.8,177.60107395626113,,0.8,APL,Moderate,0.35,0
Female,47,Married,Primary,18021.947337487312,7162.244088121685,3,Salaried,Semi-urban,522769.0651561734,120,Business,,1.0,334.7867418241567,3.0259198707190786,1.0,,None,,0
Male,44,Married,Secondary,3000.0,2090.1494382374117,4,Farmer,Rural,21262.1303111138,60,Medical,296.1707655133808,,,,1.0,,Good,0.95,0
Female,50,Widowed,Secondary,39761.07744109232,31052.267635776676,1,Salaried,Urban,896372.721171922,60,Business,1977.165053865011,0.8,,2.580823675108099,0.8,APL,None,0.82,1
Male,31,Married,Secondary,28712.075898275427,19180.652845336717,3,Salaried,Urban,450413.2615371056,12,Agriculture,1660.749280788485,1.0,600.9383878684616,2.8249850377134798,,APL,None,,0
Male,62,Married,Primary,17352.735215328637,12133.828697611641,2,Salaried,Semi-urban,221480.23700964797,12,Marriage,693.8109122668459,0.8,246.82217110480985,1.4305264760814638,1.0,APL,None,0.82,0
Female,33,Married,Graduate,3928.3970592735996,0.0,3,Farmer,Rural,99985.53088551552,120,Business,204.7324186068892,1.0,50.0,2.4639711117266856,,,Weak,0.62,0
Male,38,Married,Primary,22143.649857556375,6863.154075003671,3,Self-employed,Urban,262519.9101935824,60,Education,1034.5184010166956,1.0,447.45030085089763,2.403967369765672,1.0,APL,None,0.95,0
Male,29,Divorced,Primary,30428.482010547497,0.0,1,Self-employed,Semi-urban,442149.6627884737,12,Education,1303.0531253697422,1.0,641.1289961560861,3.703105750955433,0.8,,None,0.95,0
Female,37,Married,Primary,29231.98575395833,0.0,2,Salaried,Semi-urban,185203.72368069005,24,Medical,1319.0350847290697,0.8,536.5674928804477,2.9004668555131263,1.0,APL,None,0.62,1
Female,42,Single,Primary,56543.61819377433,0.0,5,Self-employed,Urban,715214.7729290127,48,Business,2602.404355262276,1.0,1171.532374719845,2.9992575872963383,0.8,APL,None,0.95,0
Male,43,Married,Primary,17604.191978202216,8366.690382415089,1,Self-employed,Urban,415471.3792636375,84,Agriculture,1067.1085577210456,1.0,,1.0927084524027841,1.0,APL,Strong,0.82,0
Male,47,Married,Secondary,7627.29181831465,0.0,4,Daily wage,Semi-urban,216744.91754383798,48,Agriculture,50.0,1.0,71.30328835506349,3.810710348747943,1.0,APL,Good,,0
Male,33,Single,No formal education,3000.0,0.0,5,Self-employed,Rural,19432.167428336736,60,Education,50.0,0.5,50.0,2.062491365237828,1.0,,None,0.95,0
Male,39,Married,Secondary,3000.0,0.0,5,Salaried,Semi-urban,78219.38324392047,48,Marriage,,0.5,127.56652735538268,6.7843987624033995,1.0,BPL,Good,0.95,0
Male,50,Divorced,No formal education,26496.323919572038,11396.319736313915,1,Salaried,Urban,388545.05604212376,48,Business,1293.0318642540649,0.8,592.2127322715907,3.8060329259730046,0.5,APL,None,0.95,0
Female,49,Single,Secondary,33477.069874280234,0.0,4,Salaried,Semi-urban,1001897.9573521991,12,Medical,1156.1816610037222,1.0,640.3384109638802,3.231474311155397,1.0,APL,Good,0.95,1
